Artist,Song,Lyrics,Dialect
 douzi, lalla maryama,"Myriama

el biji ya libi eydid sheli
wada da fey ha ki miskıl yeeli
kıssaqı vi lhaa şıh leeli beeli




mehdi hamilli ya şıddıh keeli

zinas herıtıni myriama
lee le myriheama
le tuni iiya ay uşfı mnema
lee le myriheama
hiya umaru hiyari miiya
lee le myriahema
jeb haaza ha ri mektubi liya
lee le myriahema

zina hu behya huh jeluh zela
şeme ha dou ya zın he şeh hela
qi vu şebbah huş helbıs rela
him rib zinha la abulih yara

zinas herıtıni myriama
lee le myriheama




le tuni iiya ay uşfı mnema
lee le myriheama
hiya umaru hiyari miiya
lee le myriahema
jeb haaza ha ri mektubi liya
lee le myriahema

taxman time-
shbsjdnejdj








				",0
 douzi, lyam zina,"مهما طال الليل
والدنيا ضاقت بينا
غدا نهار جميل
يجي ويطل علينا
نفرحو باللي جاي




والفرحة تنسينا
في كاع اللي فات
وأيامنا تولي زينة
ننساو الهم والأحزان
وكل ما داز علينا
إن شاء الله كل شيئ يزيان
والبعيد يقرب لينا

آه ليام الزينة
راه بين إيدينا
نعيشو بحال جامي
ونحققو اللي اتمنينى

آه ليام الزينة
راه بين إيدينا
نعيشو بحال جامي
ونحققو اللي اتمنينى





يا الله نعيشو اللحظة
ونحلمو كي ما بغينا
ما زال نجولو
ونزوروا كل مكان
نشوفوا البسمة مرسومة
في وجه كل واحد فينا
ربي يدومها علينا
ويفتح جاع البيبان

ما زال تزول الشدة
ونوليو كيما كنا
نفرحو مع الأحباب
ونعيشو كيف زمان
ترجع ديك اللمة
مع الناس اللي توحشنا
ومع ولاد الحومة
يفرحوا الجيران





آه ليام الزينة زينة
نعيشو بحال جامي
جــــــــــــــامي

آه ليام الزينة
راه بين إيدينا
نعيشو بحال جامي
ونحققو اللي اتمنينى

آه ليام الزينة
راه بين إيدينا
نعيشو بحال جامي
ونحققو اللي اتمنينى









				",0
 douzi, hasdou,"Hasdou ola ghiro
Katbo ola sa7ro
Hasdou ola ghiro
Katbo ola sa7ro
Nabghiha o tabghini




Ya ma 3andkom ma diro
Chkon ysalha o ysalni
Yana bghitha o bghatni
Chkon ysalha o ysalni
Yana bghitha o bghatni
Kayn binatna amour
na3cha9 fiha 3omri fort
Ntoma li galto s7or
Kayn binatna amour
Na3cha9 fiha 3omri fort
Ntoma li galto s7or
Rwa7 tchof a khoya
Dak zin lkaml li dali l39al
Bras ma o boya
Ndiha ola nhbal
Finma bghat twsal twsal
Rwa7 tchof a khoya
Dak zin lkaml li dali l39al




Bras ma o boya
Ndiha ola nhbal
Finma bghat twsal twsal

Hasdou ola ghiro
Katbo ola sa7ro
Hasdou ola ghiro
Katbo ola sa7ro
Nabghiha o tabghini
Ya ma 3andkom ma diro
Chkon ysalha o ysalni
Yana bghitha o bghatni
Chkon ysalha o ysalni
Yana bghitha o bghatni
Kayn binatna amour
na3cha9 fiha 3omri fort
Ntoma li galto s7or
Kayn binatna amour




Na3cha9 fiha 3omri fort
Ntoma li galto s7or
Rwa7 tchof a khoya
Dak zin lkaml li dali l39al
Bras ma o boya
Ndiha ola nhbal
Finma bghat twsal twsal
Rwa7 tchof a khoya
Dak zin lkaml li dali l39al
Bras ma o boya
Ndiha ola nhbal
Finma bghat twsal twsal








				",0
 douzi, klam ennas,"Klam nass rah moussiba
3lach nass thder fenass
denia lyoum welat s3iba
bnadem delyoum ma3andeh i7sas





Klam nass rah moussiba
3lach nass thder fenass
denia lyoum welat s3iba
bnadem delyoum ma3andeh i7sas

Khelouni 3likoum fi7ali
ghir hemi rah ykfini
o belhadra manechghel bali
bini o binkom ça y est c fini

Khelouni 3likoum fi7ali
ghir hemi rah ykfini
o belhadra manechghel bali
bini o binkom ça y est c fini

Klam nass rah moussiba
3lach nass thder fenass
denia lyoum welat s3iba




bnadem delyoum ma3andeh i7sas

Chkoun nti9 chkoun nkedeb
kol youm hadra o kol youm khbar
mal9it ana layen nehreb
sidi rebi o rani me7tar

Chkoun nti9 chkoun nkedeb
kol youm hadra o kol youm khbar
mal9it ana layen nehreb
sidi rebi o rani me7tar

Klam nass rah moussiba
3lach nass thder fenass
denia lyoum welat s3iba
bnadem delyoum ma3andeh i7sas

Klam nass rah moussiba




3lach nass thder fenass
denia lyoum welat s3iba
bnadem delyoum ma3andeh i7sas








				",0
 douzi, latgoulich nsani,"ki ndir nâaich bla bik
wenti bâaida âalia
al âachk w kelmet nebghik
âaraftou mâak ntia
ki ndir nâaich bla bik




wenti bâaida âalia
al âachk w kelmet nebghik
âaraftou mâak ntia
khayef temchi w tensani
khayef tehjer âanwani
khayef temchi w tensani
khayef tehjer âanwani
latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani
latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani
ghirek enti ma âandi
âandi ghir ntia
wekhyalek mayfarekni
dima bin âaynia

khayef temchi w tensani
khayef tehjer âanwani




khayef temchi w tensani
khayef tehjer âanwani
latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani
latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani

latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani
latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani
latgoulich nsani la tgoulich
la tgoulich nsani ymoutou ymoutou âadiani








				",0
 douzi, chouf chouf,"Shouf Shouf Hadak Zin Dayr Hala
Shouf Shouf Douk L3inin L9talaa
Shouf Shouf Hadak Zin Dayr Hala
Shouf Shouf Douk L3inin L9talaa





Oh Oh Oh Heo Heo Rock that party
Oh Oh Oh Heo Heo & Move Your Body
Oh Oh Oh Heo Heo turn it up turn it up
Oh Oh Oh Heo Heo Bring her out DJ!

Sarhini Ya Bent Nass w Ha ray
Rah Galbi 3esh9k Khlass u Bainli
Sarhini Ya Bent Nass w Ha ray
Rah Galbi 3esh9k Khlass u Bainli

Shouf Shouf Hadak Zin Dayr Hala
Shouf Shouf Douk L3inin L9talaa
Shouf Shouf Hadak Zin Dayr Hala
Shouf Shouf Douk L3inin L9talaa

Yal Kbida Qalbi Bghak w ha Rai
W Ana Tmenit N3ish Hdak u Bainli
Yal Kbida Qalbi Bghak w ha Rai




W Ana Tmenit N3ish Hdak u Bainli

Shouf Shouf Hadak Zin Dayr Hala
Shouf Shouf Douk L3inin L9talaa
Shouf Shouf Hadak Zin Dayr Hala
Shouf Shouf Douk L3inin L9talaa

Li Yshoufha Ytbedel
Yti7 K.O w Yetbehdel
W Yweli 3liha Yehbel
Mnin Jak Hadak Zii-ii-n

Li Yshoufha Ytbedel
Yti7 K.O w Yetbehdel
W Yweli 3liha Yehbel
Mnin Jak Hadak Zii-ii-n

Oh Oh Oh Heo Heo Turn it Up Turn it Up




MAKE SOME NOISE
FOR DOUUUZI








				",0
 douzi, habibi,"7ob zeen ibladi

s7arna o 5alani

7ayir 6ol isnani




 
ana o galbi ilmiskeen

wain inshoufo tani

ni3raf ---

Ay ay ay ay ay habibi inta il amar
Ay ay ay ay my
Ay ay ay ay ay 3ala fraqak ma nosbor
Ay ay ay ay ay we
Habibi habibi

Iy yabo majani

5ala galbi yin3ani

5ayif yinsani




 
y5alini wa7dani

min 7obo kirani

sabarna kteer ktheer

manorkidsh hani

saha 6ol il layl

Ay ay ay ay ay habibi inta il amar
Ay ay ay ay
Ay ay ay ay ay 3ala fraqak ma nosbor
Ay ay ay ay ay
Habibi habibi

Ay ay ay ay ay habibi inta il amar




Ay ay ay ay my
Ay ay ay ay ay 3ala fraqak ma nosbor
Ay ay ay ay ay
Habibi habibi

Ay ay ay ay ay habibi inta il amar
Ay ay ay ay my
Ay ay ay ay ay 3ala fraqak ma nosbor
Ay ay ay ay ay
Habibi habibi

Ay ay ay ay ay habibi inta il amar
Ay ay ay ay my
Ay ay ay ay ay 3ala fraqak ma nosbor
Ay ay ay ay ay
Habibi habibi








				",0
 douzi, dar el alia,"-dik dar lâalia tamma yeskoun mahboubi
dik dar lâalia tamma zahri w maktoubi
-dik dar lâalia tamma yeskoun mahboubi
dik dar lâalia tamma zahri w maktoubi





-ghanit âlik chehal w mazal nghanni âlik
alf mawal w mawal b chouki w hanini ilik
-ghanit âlik chehal w mazal nghanni âlik
alf mawal w mawal b chouki w hanini ilik

-ana wanti wa lil wa njoumou
nahkilek houbbi w ghrami
ahhhh mayhamnach f liloumu
ki taâyay âla katfi nami
-ana wanti wa lil wa njoumou
nahkilek houbbi w ghrami
mayhamnach f li loumu
ki taâyay âla katfi nami

-dik dar lâalia tamma yeskoun mahboubi
dik dar lâalia tamma zahri w maktoubi
-dik dar lâalia tamma yeskoun mahboubi
dik dar lâalia tamma zahri w maktoubi




 
-li bgha yahder w ygoul ana ntabbaâ galbi
bali biha machghoul âtitha âahed rabbi
-li bgha yahder w ygoul ana ntabbaâ galbi
bali biha machghoul âtitha âahed rabbi

-âraft âalach galbi yabghiha
âajbatni fiha lahnana
ila bkat ana nwassiha
w twalli ômri farhana
-âraft âalach galbi yabghiha
âajbatni fiha lahnana
ila bkat ana nwassiha
w twalli ômri farhana
-dik dar lâalia tamma yeskoun mahboubi
dik dar lâalia tamma zahri w maktoubi
-dik dar lâalia tamma yeskoun mahboubi
dik dar lâalia tamma zahri w maktoubi








				",0
 douzi, mustahil,"Mat7asbinich 3la madi makontich nti fih 
Matsewlinich 3la 9albi wem3amen 9ablek kan 
Kol wahed fina 3ando madi wfih li yekfih 
3lach t9albi fi 7yati feli ba3 wkhan 





Ana jamais nensa wmosta7il nerja3 leli daratni 
Wenkhali li baratni, wfjenbi wa9fet 
Mahma zman ytol ghadi teb9ay ntiya li kayna 
Hadi 7aja bayna, n3ich m3ak 7kayat 

Ana jamais nensa wmosta7il nerja3 leli daratni 
Wenkhali li baratni, wfjenbi wa9fet 
Mahma zman ytol ghadi teb9ay ntiya li kayna 
Hadi 7aja bayna, n3ich m3ak 7kayat

Mat7asbinich 3la madi makontich nti fih 
Matsewlinich 3la 9albi wem3amen 9ablek kan

Jra7 webrat 3lach baghya tejebdiha mnejdid
Li bini wbinha ra7, ya 3omri ti9i biya 
Ghir kouni hanya rani nsitha nti 3ach9i lwa7id 
3ziza wghalya, wentiya talya 





Ana jamais nensa wmosta7il nerja3 leli daratni 
Wenkhali li baratni, wfjenbi wa9fet 
Mahma zman ytol ghadi teb9ay ntiya li kayna 
Hadi 7aja bayna, n3ich m3ak 7kayat 

Ana jamais nensa wmosta7il nerja3 leli daratni 
Wenkhali li baratni, wfjenbi wa9fet 
Mahma zman ytol ghadi teb9ay ntiya li kayna 
Hadi 7aja bayna, n3ich m3ak 7kayat 

Mat7asbinich 3la madi makontich nti fih  
Matsewlinich 3la 9albi wem3amen 9ablek kan









				",0
 douzi, mina,"hada 9albi li bghak ana 3arfo maynssak inti nor 3ini ana (hehehe) .3ndi 3ziz wghali dima cha4al bali hbalni hobk ana (heheehe) w amina mina jit nhki lila  wamina mina ra l9issa twila (oholi lilili holi lili )













				",0
 hatim ammor, ya saken,"Wa ya ssaken ri gelbi wa yalhmami wa ya ssaken
Jbed ssif ou 3tani belm7ebba wa ya ssaken
Ya rezzat 7yati lbelgha ziwani wya ssaken
Ya 7ikou sehrawi w yjre7 w idawi wya ssaken
Wa ya ssaken ri gelbi wa yalhmami wa ya ssaken




Jbed ssif ou 3tani belm7ebba wa ya ssaken
Mcha lssouq ytssewweq wjab 3jel mzewwzq wya ssaken
wyerkoud widewweq yakoul wiferreq wya ssaken
ya rrebta zeghbiya achedda 3ekriya wya ssaken
ytkellem bem3ani felgelssa zehwani wya ssaken
Wa ya ssaken ri gelbi wa yalhmami wa ya ssaken
Jbed ssif ou 3tani belm7ebba wa ya ssaken








				",0
